x,y,r,dummy_column
141.7989952904455,215.88497899374352,0.0005185948649439,1.0
140.811058323345,216.0429235897772,0.00036316955921,1.0
139.82283326057885,216.1990729484627,0.0001504072837446,1.0
138.83442145419824,216.3540587956896,-0.0001179555487715,1.0
137.8459242562544,216.50851285734743,-0.0004332441679302,1.0
136.8574430187988,216.66306685932628,-0.0007809441262018,1.0
135.8691082662171,216.81854646505803,-0.0011425446679565,1.0
134.88099676878213,216.97543257803216,-0.0014976317082913,1.0
133.89319874122418,217.13427040794403,-0.0018259635225011,1.0
132.90576704685338,217.2953670008144,-0.0021093190554619,1.0
131.91877937224345,217.45917151741904,-0.0023329618869904,1.0
130.9322829356389,217.62590462263967,-0.0024866261470589,1.0
129.94626453286537,217.79543563963253,-0.002564991251345,1.0
128.96072513635588,217.96772743434275,-0.0025676804416024,1.0
127.97567213435038,218.14278541154303,-0.0024988711649503,1.0
126.99108744425251,218.32046569606808,-0.002366617167775,1.0
126.00693942242134,218.5005521472128,-0.0021819665176513,1.0
125.02318108147544,218.6827581582105,-0.0019579509703888,1.0
124.03975104168586,218.86672454912872,-0.001708531103767,1.0
123.05658342854775,219.0520863599845,-0.0014475918624289,1.0
122.0736486423358,219.2386810209192,-0.0011880731353949,1.0
121.09091690562892,219.4263455691609,-0.0009412863246083,1.0
120.1082992079934,219.61460748695137,-0.0007164338860131,1.0
119.1257779875664,219.8033805095269,-0.000520336192299,1.0
118.14331634457548,219.9924711603797,-0.0003573666788115,1.0
117.1609063375162,220.18183142428643,-0.0002295780552513,1.0
116.17854834761764,220.37146015963893,-0.0001369725131025,1.0
115.19621911335425,220.5612358670745,-7.785090278510532e-05,1.0
114.21390998998692,220.7511085292512,-4.9182579788579605e-05,1.0
113.23161732261862,220.941058762014,-4.695893180636141e-05,1.0
112.24935259424566,221.1311478710138,-6.651090225882334e-05,1.0
111.2671120374958,221.32135783842617,-0.0001027805645215,1.0
110.28487244107524,221.51156896747443,-0.000150550229668,1.0
109.30266436395054,221.70194088873487,-0.0002046501720752,1.0
108.32047966607009,221.892431599271,-0.0002601714468497,1.0
107.33835625593666,222.08323583895947,-0.0003126945519709,1.0
106.35631734726545,222.27447495267603,-0.0003585202825755,1.0
105.37433629639946,222.46602146663344,-0.000394875367047,1.0
104.39246354413562,222.6581281335726,-0.0004200668024816,1.0
103.41069122910058,222.8507537224841,-0.0004335635410401,1.0
102.42902917963085,223.0439432416661,-0.0004359882330811,1.0
101.4474444305594,223.23752695014008,-0.0004290151571843,1.0
100.46595232530568,223.43157566624444,-0.000415190925357,1.0
99.48454950861014,223.62607142091463,-0.0003977027085079,1.0
98.50323598097692,223.82100914711344,-0.0003801094445767,1.0
97.5219962040752,224.01631144022883,-0.0003660424833853,1.0
96.54082229897614,224.2119432047919,-0.0003588868968499,1.0
95.5597005849003,224.4078398165721,-0.0003614674094452,1.0
94.57862541381742,224.6039785053733,-0.0003757709792119,1.0
93.59760893357884,224.80041679678783,-0.0004027367396975,1.0
92.6166400953466,224.99709848163485,-0.0004421392002116,1.0
91.63570751509256,225.1939618513215,-0.000492588564928,1.0
90.6548632604576,225.39126287061,-0.0005516646236372,1.0
89.674123486999,225.589076605507,-0.0006161747078313,1.0
88.69353095276949,225.78761651700972,-0.0006824915251345,1.0
87.71307303589136,225.9868197003304,-0.0007469104896735,1.0
86.732787810391,226.18686871933272,-0.0008059756319324,1.0
85.75270009764706,226.3878843065868,-0.0008567408301482,1.0
84.7727819601701,226.5897257858589,-0.0008969491877989,1.0
83.79305550942755,226.7924992759584,-0.0009251318495585,1.0
82.81352810570023,226.9962294106774,-0.0009406440118882,1.0
81.83418947354392,227.20086543820585,-0.0009436624819953,1.0
80.85502289277248,227.4063228383957,-0.000935169959382,1.0
79.87605338512437,227.6127144185533,-0.0009169469669717,1.0
78.89729802048235,227.82011886709896,-0.0008915753301899,1.0
77.91872095917063,228.02836485987063,-0.0008624349661973,1.0
76.94035176087421,228.23758725083323,-0.0008336660017136,1.0
75.96218169179639,228.44773927819543,-0.0008100706431554,1.0
74.98419838484755,228.65875657126531,-0.000796934009277,1.0
74.00640407467043,228.8706460018478,-0.0007997494072272,1.0
73.02881641442,229.0834883192634,-0.0008238434897248,1.0
72.05138750551532,229.29705974581333,-0.0008739146324901,1.0
71.0741034632775,229.51129341515545,-0.0009535273770782,1.0
70.09700394137471,229.7263670883049,-0.0010646317593444,1.0
69.12009300655139,229.94229549145007,-0.0012071793895088,1.0
68.14336247020401,230.15904084419333,-0.0013788981317206,1.0
67.16686411890933,230.37683483926088,-0.001575281204822,1.0
66.19064611069297,230.59588581362647,-0.001789830389497,1.0
65.21482105812852,230.81667299382863,-0.0020145457549638,1.0
64.2394661324539,231.03952013197335,-0.0022405891035937,1.0
