x,y,z
-112.821,221.021,189.953
-112.7,221.044,189.953
-112.58,221.067,189.953
-112.46,221.091,189.954
-112.34,221.114,189.954
-112.22,221.137,189.954
-112.1,221.16,189.954
-111.979,221.184,189.954
-111.859,221.207,189.954
-111.739,221.23,189.954
-111.619,221.253,189.954
-111.498,221.277,189.955
-111.378,221.3,189.955
-111.258,221.323,189.955
-111.137,221.347,189.955
-111.017,221.37,189.955
-110.896,221.393,189.955
-110.776,221.417,189.955
-110.655,221.44,189.955
-110.535,221.463,189.955
-110.415,221.487,189.955
-110.294,221.51,189.956
-110.173,221.533,189.956
-110.053,221.557,189.956
-109.932,221.58,189.956
-109.812,221.603,189.956
-109.691,221.627,189.956
-109.57,221.65,189.956
-109.45,221.673,189.956
-109.329,221.697,189.956
-109.208,221.72,189.956
-109.088,221.744,189.956
-108.967,221.767,189.956
-108.846,221.79,189.956
-108.725,221.814,189.956
-108.605,221.837,189.956
-108.484,221.861,189.956
-108.363,221.884,189.956
-108.242,221.908,189.956
-108.121,221.931,189.956
-108.0,221.955,189.956
-107.879,221.978,189.956
-107.758,222.002,189.956
-107.637,222.025,189.956
-107.516,222.049,189.956
-107.395,222.072,189.956
-107.274,222.096,189.956
-107.153,222.119,189.956
-107.032,222.143,189.956
-106.911,222.166,189.956
-106.79,222.19,189.956
-106.669,222.214,189.956
-106.547,222.237,189.957
-106.426,222.261,189.957
-106.305,222.284,189.957
-106.184,222.308,189.957
-106.062,222.332,189.957
-105.941,222.355,189.957
-105.82,222.379,189.957
-105.698,222.403,189.957
-105.577,222.426,189.958
-105.456,222.45,189.958
-105.334,222.474,189.958
-105.213,222.498,189.958
-105.091,222.521,189.958
-104.97,222.545,189.958
-104.848,222.569,189.959
-104.727,222.593,189.959
-104.605,222.616,189.959
-104.484,222.64,189.959
-104.362,222.664,189.959
-104.241,222.688,189.959
-104.119,222.712,189.959
-103.998,222.736,189.959
-103.876,222.759,189.96
-103.754,222.783,189.96
-103.633,222.807,189.96
-103.511,222.831,189.96
-103.389,222.855,189.96
-103.267,222.879,189.96
-103.146,222.903,189.96
-103.024,222.927,189.96
-102.902,222.951,189.96
-102.78,222.975,189.961
-102.658,222.999,189.961
-102.536,223.023,189.961
-102.414,223.047,189.961
-102.292,223.071,189.961
-102.17,223.095,189.961
-102.048,223.119,189.962
-101.926,223.143,189.962
-101.804,223.167,189.962
-101.682,223.191,189.962
-101.56,223.215,189.962
-101.438,223.239,189.963
-101.316,223.264,189.963
-101.194,223.288,189.963
-101.071,223.312,189.963
-100.949,223.336,189.963
-100.827,223.36,189.964
-100.705,223.384,189.964
-100.582,223.409,189.964
-100.46,223.433,189.964
-100.338,223.457,189.964
-100.215,223.481,189.965
-100.093,223.505,189.965
-99.9704,223.53,189.965
-99.848,223.554,189.965
-99.7255,223.578,189.965
-99.6029,223.603,189.966
-99.4804,223.627,189.966
-99.3578,223.651,189.966
-99.2352,223.676,189.966
-99.1126,223.7,189.966
-98.9899,223.724,189.967
-98.8672,223.749,189.967
-98.7445,223.773,189.967
-98.6218,223.797,189.967
-98.499,223.822,189.967
-98.3762,223.846,189.968
-98.2534,223.871,189.968
-98.1306,223.895,189.968
-98.0077,223.92,189.968
-97.8848,223.944,189.968
-97.7619,223.969,189.969
-97.6389,223.993,189.969
-97.5159,224.017,189.969
-97.3929,224.042,189.969
-97.2699,224.067,189.969
-97.1469,224.091,189.97
-97.0238,224.116,189.97
-96.9007,224.14,189.97
-96.7775,224.165,189.97
-96.6544,224.189,189.97
-96.5312,224.214,189.97
-96.4079,224.238,189.97
-96.2847,224.263,189.971
-96.1614,224.288,189.971
-96.038,224.312,189.971
-95.9147,224.337,189.971
-95.7913,224.362,189.971
-95.6679,224.386,189.971
-95.5444,224.411,189.972
-95.4209,224.436,189.972
-95.2974,224.46,189.972
-95.1739,224.485,189.972
-95.0503,224.51,189.972
-94.9267,224.534,189.973
-94.803,224.559,189.973
-94.6794,224.584,189.973
-94.5557,224.609,189.973
-94.4319,224.633,189.973
-94.3082,224.658,189.974
-94.1844,224.683,189.974
-94.0606,224.708,189.974
-93.9367,224.733,189.974
-93.8129,224.757,189.974
-93.6889,224.782,189.975
-93.565,224.807,189.975
-93.441,224.832,189.975
-93.317,224.857,189.975
-93.193,224.882,189.975
-93.0689,224.907,189.975
-92.9448,224.931,189.976
-92.8206,224.956,189.976
-92.6964,224.981,189.976
-92.5722,225.006,189.976
-92.4479,225.031,189.976
-92.3236,225.056,189.977
-92.1993,225.081,189.977
-92.075,225.106,189.977
-91.9506,225.131,189.977
-91.8261,225.156,189.978
-91.7017,225.181,189.978
-91.5772,225.206,189.978
-91.4527,225.231,189.978
-91.3281,225.256,189.979
-91.2035,225.281,189.979
-91.0789,225.306,189.979
-90.9542,225.331,189.979
