x,y,z
-673.398,29.5765,180.24
-673.228,27.4006,180.25
-672.966,25.2115,180.257
-672.621,23.0076,180.265
-672.209,20.7877,180.272
-671.755,18.5491,180.275
-671.273,16.2886,180.275
-670.764,14.006,180.273
-670.217,11.7052,180.267
-669.625,9.38777,180.257
-668.977,7.05682,180.242
-668.269,4.71691,180.226
-667.494,2.36958,180.213
-666.652,0.0183328,180.204
-665.733,-2.3257,180.201
-664.737,-4.62626,180.209
-663.668,-6.8649,180.221
-662.516,-9.04023,180.238
-661.28,-11.1522,180.256
-659.952,-13.2271,180.27
-658.532,-15.2529,180.281
-657.032,-17.2258,180.287
-655.469,-19.1604,180.284
-653.853,-21.069,180.274
-652.194,-22.9622,180.261
-650.485,-24.832,180.249
-648.708,-26.6598,180.248
-646.856,-28.4306,180.261
-644.929,-30.1404,180.279
-642.931,-31.7868,180.29
-640.861,-33.3591,180.296
-638.71,-34.8403,180.312
-636.486,-36.2314,180.337
-634.201,-37.5411,180.359
-631.858,-38.7651,180.382
-629.463,-39.908,180.415
-627.027,-40.9865,180.457
-624.562,-42.0228,180.49
-622.065,-43.0179,180.514
-619.527,-43.9476,180.547
-616.95,-44.7914,180.605
-614.348,-45.5652,180.656
-611.72,-46.2703,180.678
-609.066,-46.8781,180.689
-606.376,-47.3276,180.733
-603.664,-47.6523,180.784
-600.935,-47.8816,180.816
-598.187,-48.0098,180.846
-595.422,-48.0595,180.87
-592.64,-48.0561,180.887
-589.837,-48.0217,180.9
-587.01,-47.9695,180.909
-584.157,-47.9047,180.913
-581.28,-47.8266,180.913
-578.376,-47.7324,180.913
-575.446,-47.6207,180.912
-572.491,-47.4898,180.909
-569.51,-47.3324,180.905
-566.507,-47.1382,180.898
-563.481,-46.8991,180.892
-560.431,-46.6196,180.883
-557.357,-46.3027,180.875
-554.259,-45.9448,180.868
-551.143,-45.5311,180.861
-548.007,-45.0595,180.856
-544.85,-44.5325,180.851
-541.671,-43.9613,180.846
-538.465,-43.3584,180.847
-535.232,-42.7359,180.85
-531.97,-42.1,180.856
-528.679,-41.4517,180.862
-525.36,-40.7893,180.871
-522.013,-40.1133,180.881
-518.638,-39.4249,180.892
-515.233,-38.7262,180.905
-511.801,-38.0191,180.919
-508.339,-37.3049,180.935
-504.849,-36.5842,180.954
-501.331,-35.8574,180.974
-497.786,-35.1246,180.996
-494.212,-34.3858,181.018
-490.611,-33.6409,181.042
-486.982,-32.89,181.066
-483.323,-32.133,181.094
-479.635,-31.3697,181.128
-475.917,-30.6,181.168
-472.17,-29.8241,181.213
-468.394,-29.0419,181.261
-464.589,-28.2534,181.312
-460.756,-27.4569,181.366
-456.897,-26.6486,181.413
-453.013,-25.8245,181.446
-449.099,-24.9894,181.49
-445.156,-24.1456,181.549
-441.189,-23.2917,181.61
-437.196,-22.4244,181.673
-433.178,-21.5418,181.747
-429.138,-20.6461,181.817
-425.074,-19.738,181.889
-420.986,-18.8193,181.969
-416.876,-17.892,182.057
-412.747,-16.9585,182.15
-408.628,-16.0261,182.252
-404.52,-15.0959,182.38
-400.366,-14.1557,182.506
-396.175,-13.2066,182.633
-391.965,-12.2529,182.762
-387.738,-11.2948,182.896
-383.493,-10.3326,183.033
-379.231,-9.36629,183.172
-374.955,-8.39666,183.314
-370.666,-7.42525,183.458
-366.366,-6.45265,183.604
-362.056,-5.47942,183.75
-357.741,-4.50612,183.898
-353.438,-3.53581,184.045
-349.16,-2.57437,184.192
-344.907,-1.63202,184.338
-340.678,-0.711747,184.484
-336.473,0.187626,184.629
-332.293,1.07153,184.773
-328.138,1.94502,184.917
-324.009,2.81101,185.06
-319.907,3.67087,185.203
-315.83,4.52513,185.345
-311.778,5.37397,185.486
-307.752,6.21746,185.626
-303.752,7.0557,185.766
-299.776,7.88861,185.905
-295.825,8.71594,186.043
-291.899,9.53739,186.181
-287.996,10.353,186.317
-284.118,11.163,186.453
-280.264,11.9675,186.588
-276.432,12.7632,186.722
-272.622,13.5444,186.856
-268.833,14.311,186.988
-265.065,15.0653,187.12
-261.32,15.8106,187.25
-257.596,16.5495,187.38
-253.895,17.2831,187.509
-250.216,18.012,187.638
-246.558,18.7363,187.765
-242.923,19.4562,187.892
-239.308,20.1722,188.018
-235.717,20.8897,188.144
-232.149,21.6173,188.268
-228.607,22.3573,188.389
-225.112,23.105,188.507
-221.677,23.8562,188.622
-218.3,24.6089,188.736
-214.979,25.3615,188.849
-211.716,26.1114,188.959
-208.486,26.8661,189.067
-205.28,27.6392,189.173
-202.105,28.4555,189.277
-198.969,29.3358,189.376
-195.88,30.2931,189.469
-192.848,31.3412,189.563
-189.873,32.4821,189.667
-186.946,33.7055,189.77
-184.057,35.0017,189.872
-181.19,36.3521,189.975
-178.327,37.7326,190.072
-175.461,39.1321,190.167
-172.59,40.5495,190.26
-169.714,41.9849,190.351
-166.832,43.4415,190.447
-163.946,44.9182,190.535
-161.054,46.4195,190.617
-158.159,47.9511,190.698
-155.261,49.5136,190.785
-152.362,51.1064,190.872
-149.461,52.73,190.958
-146.561,54.3871,191.042
-143.664,56.0799,191.125
-140.77,57.8097,191.209
-137.881,59.5763,191.291
-134.998,61.3828,191.37
-132.129,63.2382,191.448
-129.278,65.1459,191.522
-126.446,67.1058,191.592
-123.631,69.1158,191.66
-120.827,71.1663,191.721
-118.028,73.2499,191.781
-115.228,75.3565,191.835
-112.421,77.4808,191.888
-109.605,79.6163,191.94
-106.788,81.7547,191.991
-103.981,83.8837,192.042
-101.183,85.9934,192.093
-98.3883,88.0765,192.131
-95.5974,90.1195,192.151
-92.7986,92.1125,192.163
-89.9806,94.0434,192.178
